feature,semantic_type,dictionary_data_type,feature_description,missing_percent,unique_values,level1_findings,category_inconsistency,level1_status,decision_rule,decision_reason,baseline_action,level2_followup
h1_hemaglobin_min,CONTINUOUS,numeric,The lowest hemoglobin concentration for the patient during the first hour of their unit stay,79.73,124,HIGH_MISSINGNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
h1_hematocrit_max,CONTINUOUS,numeric,"The highest volume proportion of red blood cells in a patient's blood during the first hour of their unit stay, expressed as a fraction",80.05,358,EXTREME_MISSINGNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_hematocrit_min,CONTINUOUS,numeric,"The lowest volume proportion of red blood cells in a patient's blood during the first hour of their unit stay, expressed as a fraction",80.05,361,EXTREME_MISSINGNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_inr_max,CONTINUOUS,numeric,The highest international normalized ratio for the patient during the first hour of their unit stay,63.18,481,HIGH_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
h1_inr_min,CONTINUOUS,numeric,The lowest international normalized ratio for the patient during the first hour of their unit stay,63.18,393,HIGH_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
h1_lactate_max,CONTINUOUS,numeric,The highest lactate concentration for the patient in their serum or plasma during the first hour of their unit stay,91.99,547,EXTREME_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_lactate_min,CONTINUOUS,numeric,The lowest lactate concentration for the patient in their serum or plasma during the first hour of their unit stay,91.99,536,EXTREME_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_platelets_max,CONTINUOUS,numeric,The highest platelet count for the patient during the first hour of their unit stay,82.51,544,EXTREME_MISSINGNESS | A1_HIGH_SKEWNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_platelets_min,CONTINUOUS,numeric,The lowest platelet count for the patient during the first hour of their unit stay,82.51,545,EXTREME_MISSINGNESS | A1_HIGH_SKEWNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_potassium_max,CONTINUOUS,numeric,The highest potassium concentration for the patient in their serum or plasma during the first hour of their unit stay,78.62,115,HIGH_MISSINGNESS | A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
h1_potassium_min,CONTINUOUS,numeric,The lowest potassium concentration for the patient in their serum or plasma during the first hour of their unit stay,78.62,113,HIGH_MISSINGNESS | A1_NOTICEABLE_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
h1_sodium_max,CONTINUOUS,numeric,The highest sodium concentration for the patient in their serum or plasma during the first hour of their unit stay,79.18,99,HIGH_MISSINGNESS | A1_NOTICEABLE_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
h1_sodium_min,CONTINUOUS,numeric,The lowest sodium concentration for the patient in their serum or plasma during the first hour of their unit stay,79.18,113,HIGH_MISSINGNESS | A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
h1_wbc_max,CONTINUOUS,numeric,The highest white blood cell count for the patient during the first hour of their unit stay,82.82,2075,EXTREME_MISSINGNESS | A1_NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | A1_HIGH_SKEWNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_wbc_min,CONTINUOUS,numeric,The lowest white blood cell count for the patient during the first hour of their unit stay,82.82,2072,EXTREME_MISSINGNESS | A1_NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | A1_HIGH_SKEWNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
d1_arterial_pco2_max,CONTINUOUS,numeric,The highest arterial partial pressure of carbon dioxide for the patient during the first 24 hours of their unit stay,64.63,831,HIGH_MISSINGNESS | A1_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_arterial_pco2_min,CONTINUOUS,numeric,The lowest arterial partial pressure of carbon dioxide for the patient during the first 24 hours of their unit stay,64.63,674,HIGH_MISSINGNESS | A1_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_arterial_ph_max,CONTINUOUS,numeric,The highest arterial pH for the patient during the first 24 hours of their unit stay,65.56,527,HIGH_MISSINGNESS | A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_arterial_ph_min,CONTINUOUS,numeric,The lowest arterial pH for the patient during the first 24 hours of their unit stay,65.56,624,HIGH_MISSINGNESS | A1_HIGH_SKEWNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_arterial_po2_max,CONTINUOUS,numeric,The highest arterial partial pressure of oxygen for the patient during the first 24 hours of their unit stay,64.62,2428,HIGH_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_arterial_po2_min,CONTINUOUS,numeric,The lowest arterial partial pressure of oxygen for the patient during the first 24 hours of their unit stay,64.62,1822,HIGH_MISSINGNESS | A1_NOTICEABLE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_pao2fio2ratio_max,CONTINUOUS,numeric,The highest fraction of inspired oxygen for the patient during the first 24 hours of their unit stay,71.97,5194,HIGH_MISSINGNESS | A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
d1_pao2fio2ratio_min,CONTINUOUS,numeric,The lowest fraction of inspired oxygen for the patient during the first 24 hours of their unit stay,71.97,4990,HIGH_MISSINGNESS | A1_NOTICEABLE_SKEWNESS,,KEEP_FOR_NOW,09_HIGH_MISSINGNESS_IMPUTABLE,MISSINGNESS_50_TO_80_WITH_BASELINE_IMPUTATION,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP_AND_REASSESS_MISSINGNESS
h1_arterial_pco2_max,CONTINUOUS,numeric,The highest arterial partial pressure of carbon dioxide for the patient during the first hour of their unit stay,82.82,779,EXTREME_MISSINGNESS | A1_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_arterial_pco2_min,CONTINUOUS,numeric,The lowest arterial partial pressure of carbon dioxide for the patient during the first hour of their unit stay,82.82,768,EXTREME_MISSINGNESS | A1_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_arterial_ph_max,CONTINUOUS,numeric,The highest arterial pH for the patient during the first hour of their unit stay,83.33,561,EXTREME_MISSINGNESS | A1_NOTICEABLE_SKEWNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_arterial_ph_min,CONTINUOUS,numeric,The lowest arterial pH for the patient during the first hour of their unit stay,83.33,579,EXTREME_MISSINGNESS | A1_HIGH_SKEWNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_arterial_po2_max,CONTINUOUS,numeric,The highest arterial partial pressure of oxygen for the patient during the first hour of their unit stay,82.81,1737,EXTREME_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_HIGH_SKEWNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_arterial_po2_min,CONTINUOUS,numeric,The lowest arterial partial pressure of oxygen for the patient during the first hour of their unit stay,82.81,1729,EXTREME_MISSINGNESS | A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_HIGH_SKEWNESS | A2_NOTICEABLE_OUTLIERS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_pao2fio2ratio_max,CONTINUOUS,numeric,The highest fraction of inspired oxygen for the patient during the first hour of their unit stay,87.44,3142,EXTREME_MISSINGNESS | A1_NOTICEABLE_SKEWNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
h1_pao2fio2ratio_min,CONTINUOUS,numeric,The lowest fraction of inspired oxygen for the patient during the first hour of their unit stay,87.44,3122,EXTREME_MISSINGNESS | A1_NOTICEABLE_SKEWNESS,,DROP_BASELINE,07_EXTREME_MISSINGNESS,MISSINGNESS_GE_80_PERCENT,REMOVE_FROM_BASELINE,OPTIONAL_REVISIT_AFTER_BASELINE
apache_4a_hospital_death_prob,DERIVED_PREDICTION,numeric,"The APACHE IVa probabilistic prediction of in-hospital mortality for the patient which utilizes the APACHE III score and other covariates, including diagnosis.",8.67,101,A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_HIGH_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE | A3_HAS_NEGATIVE_VALUES | A3_VALUE_OUTSIDE_PROBABILITY_DOMAIN | DERIVED_PREDICTION_REVIEW,,INVESTIGATE,05_DERIVED_PREDICTION,DERIVED_PREDICTION_OR_LEAKAGE_RISK,KEEP_OUT_OF_MODEL_UNTIL_RESOLVED,VERIFY_SENTINEL_TIMING_AVAILABILITY_AND_LEAKAGE
apache_4a_icu_death_prob,DERIVED_PREDICTION,numeric,"The APACHE IVa probabilistic prediction of in ICU mortality for the patient which utilizes the APACHE III score and other covariates, including diagnosis",8.67,99,A1_LARGE_MEAN_MEDIAN_DIFFERENCE | A1_VERY_HIGH_SKEWNESS | A2_HIGH_OUTLIER_PREVALENCE | A3_HAS_NEGATIVE_VALUES | A3_VALUE_OUTSIDE_PROBABILITY_DOMAIN | DERIVED_PREDICTION_REVIEW,,INVESTIGATE,05_DERIVED_PREDICTION,DERIVED_PREDICTION_OR_LEAKAGE_RISK,KEEP_OUT_OF_MODEL_UNTIL_RESOLVED,VERIFY_SENTINEL_TIMING_AVAILABILITY_AND_LEAKAGE
aids,BINARY,binary,Whether the patient has a definitive diagnosis of acquired immune deficiency syndrome (AIDS) (not HIV positive alone),0.78,2,A1_LOW_UNIQUE_VALUES | A4_EXTREME_VALUE_DOMINANCE,,KEEP_FOR_NOW,13_RARE_BINARY,RARE_BINARY_CLINICAL_INDICATOR,NUMERIC_BASELINE_IMPUTATION,POSITIVE_CLASS_VS_TARGET
cirrhosis,BINARY,binary,"Whether the patient has a history of heavy alcohol use with portal hypertension and varices, other causes of cirrhosis with evidence of portal hypertension and varices, or biopsy proven cirrhosis. This comorbidity does not apply to patients with a functioning liver transplant.",0.78,2,A1_LOW_UNIQUE_VALUES | A4_VERY_HIGH_VALUE_DOMINANCE,,KEEP_FOR_NOW,13_RARE_BINARY,RARE_BINARY_CLINICAL_INDICATOR,NUMERIC_BASELINE_IMPUTATION,POSITIVE_CLASS_VS_TARGET
diabetes_mellitus,BINARY,binary,"Whether the patient has been diagnosed with diabetes, either juvenile or adult onset, which requires medication.",0.78,2,A1_LOW_UNIQUE_VALUES,,KEEP_FOR_NOW,13_BINARY_DEFAULT,VALID_BINARY_FEATURE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
hepatic_failure,BINARY,binary,"Whether the patient has cirrhosis and additional complications including jaundice and ascites, upper GI bleeding, hepatic encephalopathy, or coma.",0.78,2,A1_LOW_UNIQUE_VALUES | A4_VERY_HIGH_VALUE_DOMINANCE,,KEEP_FOR_NOW,13_RARE_BINARY,RARE_BINARY_CLINICAL_INDICATOR,NUMERIC_BASELINE_IMPUTATION,POSITIVE_CLASS_VS_TARGET
immunosuppression,BINARY,binary,"Whether the patient has their immune system suppressed within six months prior to ICU admission for any of the following reasons; radiation therapy, chemotherapy, use of non-cytotoxic immunosuppressive drugs, high dose steroids (at least 0.3 mg/kg/day of methylprednisolone or equivalent for at least 6 months).",0.78,2,A1_LOW_UNIQUE_VALUES | A4_HIGH_VALUE_DOMINANCE,,KEEP_FOR_NOW,13_BINARY_DEFAULT,VALID_BINARY_FEATURE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
leukemia,BINARY,binary,"Whether the patient has been diagnosed with acute or chronic myelogenous leukemia, acute or chronic lymphocytic leukemia, or multiple myeloma.",0.78,2,A1_LOW_UNIQUE_VALUES | A4_EXTREME_VALUE_DOMINANCE,,KEEP_FOR_NOW,13_RARE_BINARY,RARE_BINARY_CLINICAL_INDICATOR,NUMERIC_BASELINE_IMPUTATION,POSITIVE_CLASS_VS_TARGET
lymphoma,BINARY,binary,Whether the patient has been diagnosed with non-Hodgkin lymphoma.,0.78,2,A1_LOW_UNIQUE_VALUES | A4_EXTREME_VALUE_DOMINANCE,,KEEP_FOR_NOW,13_RARE_BINARY,RARE_BINARY_CLINICAL_INDICATOR,NUMERIC_BASELINE_IMPUTATION,POSITIVE_CLASS_VS_TARGET
solid_tumor_with_metastasis,BINARY,binary,Whether the patient has been diagnosed with any solid tumor carcinoma (including malignant melanoma) which has evidence of metastasis.,0.78,2,A1_LOW_UNIQUE_VALUES | A4_HIGH_VALUE_DOMINANCE,,KEEP_FOR_NOW,13_BINARY_DEFAULT,VALID_BINARY_FEATURE,NUMERIC_BASELINE_IMPUTATION,TARGET_RELATIONSHIP
apache_3j_bodysystem,CATEGORICAL,string,Admission diagnosis group for APACHE III,1.81,11,B1_MODERATE_CARDINALITY | B4_HAS_RARE_CATEGORIES,,KEEP_FOR_NOW,14_CATEGORICAL_DEFAULT,NO_LEVEL1_REASON_TO_REMOVE,MODE_IMPUTATION_THEN_ENCODE,TARGET_RELATIONSHIP
apache_2_bodysystem,CATEGORICAL,string,Admission diagnosis group for APACHE II,1.81,10,B4_HAS_RARE_CATEGORIES | CATEGORY_LABEL_INCONSISTENCY,Undefined diagnoses / Undefined Diagnoses,CLEAN_KEEP,08_CATEGORY_CONSISTENCY,CATEGORY_LABEL_INCONSISTENCY,VERIFY_AND_STANDARDIZE_CATEGORY_LABELS,TARGET_RELATIONSHIP_AFTER_CLEANING
